,0
газ,319
млн,316
газу,313
вартість,195
млрд,180
тис,170
ціна,136
ціни,106
гривень,103
доларів,98
коп,96
тариф,95
тарифів,87
куб,86
компанії,82
ринку,74
компанія,68
ціну,66
електроенергії,66
шмигаль,65
бюджету,63
євро,61
гривні,58
послуги,57
мвф,56
вугілля,56
гроші,53
зростання,52
тарифи,52
курс,51
споживачів,46
банк,42
енергетики,42
кубометр,41
цін,41
економіки,39
пенсії,39
зарплати,38
тов,36
тес,36
тарифу,34
опалення,32
санкції,31
пдв,30
нбу,30
електроенергію,29
грн/л,27
азс,26
виплати,26
води,26
кошти,25
кредитів,24
фінансування,23
бензин,23
а-95,23
субсидії,23
грн/м3,23
холодної,23
перевізники,22
дтек,21
долара,21
інвестицій,20
фінансів,20
фонду,19
економічно,19
бюджет,18
набу,18
пенсій,17
енергії,17
підприємства,17
ринок,17
бідності,17
фонд,16
штрафи,15
нерухомості,14
прожитковий,14
акцій,14
борг,14
грн/кг,14
закону,14
кредити,14
коштів,13
фунтів,13
прожиткового,13
мфо,13
доходи,12
задекларував,12
готівкою,12
дохід,12
мільярдів,12
копійок,12
зарплата,12
субсидій,12
пенсіонерів,11
держгеокадастру,11
оклад,11
працівникам,11
прат,11
валют,11
заборгованості,11
банки,11
позику,11
бюджеті,10
підприємств,10
митниці,10
тарифами,10
дизель,10
виробників,10
зросла,10
забудовники,10
витрат,10
бензину,10
коштує,10
податків,10
інфляції,9
подорожчали,9
готівки,9
кубометрів,9
комунальної,7
грн/куб,7
укренерго,7
платити,7
лісу,7
газопроводу,7
платежів,7
енергоефективності,7
банківських,7
криза,7
ставки,7
аудит,7
інвалідності,7
підприємцям,7
муру,7
трлн,6
палива,6
цінники,6
плата,6
угода,6
грн/квт*год,6
польщі,6
житлово-комунальні,6
зайнятості,6
грошей,6
врегулювання,6
здешевлення,6
